competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60,0.51,38.98
Candy Corn,0,0,0,0,0,0,0,0,1,0.91,0.32,38.01
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.27,0.98,37.89
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.09,0.02,37.72
Red vines,0,1,0,0,0,0,0,0,1,0.58,0.12,37.35
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73,0.51,36.02
Ring pop,0,1,0,0,0,0,1,0,0,0.73,0.96,35.29
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.08,34.72
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.57,0.06,34.58
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60,0.32,34.52
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.47,0.47,34.16
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96,0.77,33.44
One dime,0,0,0,0,0,0,0,0,0,0.01,0.12,32.26
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.42,0.32,32.23
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73,0.07,29.70
Jawbusters,0,1,0,0,0,0,1,0,1,0.09,0.51,28.13
Super Bubble,0,1,0,0,0,0,0,0,0,0.16,0.12,27.30
Chiclets,0,1,0,0,0,0,0,0,1,0.05,0.32,24.52
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31,0.51,23.42
Nik L Nip,0,1,0,0,0,0,0,0,1,0.20,0.98,22.45
